NiveauEtude,SujetCours,ResponsableEleve,NbFoisLeverMain,MoyenneLeverMainEleve,MoyenneLeverMainClasse,NbFoisEtudiantVisiteContenuCours,MoyenneVisiteContenuCoursEleve,MoyenneVisiteContenuCoursClasse,NbFoisUtilisateurCheckAnnonces,MoyenneCheckAnnoncesEleve,MoyenneCheckAnnoncesClasse,NbFoisUtilisateurParticipeDiscussionsGroupe,MoyenneParticipationsDiscussionsEleve,MoyenneParticipationsDiscussionsClasse,NbFoisParticipationEleve,MoyenneParticipationEleve,MoyenneParticipationClasse,ParentsOntRepondusSondagesEcole,ParentsSatisfaitsEcole,NbJoursAbsence,NiveauEleveNotes,NiveauEleveChiffre,PositionMoyenne,MoyenneClasse,PositionMoyenneClasse
MaternelleElementaire,Informatique,Pere,15,DessousMoyenne,"46,775",16,DessousMoyenne,"54,79792",2,DessousMoyenne,"37,91875",20,DessousMoyenne,"43,28333",53,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,20,DessousMoyenne,"46,775",20,DessousMoyenne,"54,79792",3,DessousMoyenne,"37,91875",25,DessousMoyenne,"43,28333",68,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,10,DessousMoyenne,"46,775",7,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",47,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,30,DessousMoyenne,"46,775",25,DessousMoyenne,"54,79792",5,DessousMoyenne,"37,91875",35,DessousMoyenne,"43,28333",95,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,40,DessousMoyenne,"46,775",50,DessousMoyenne,"54,79792",12,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",152,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,42,DessousMoyenne,"46,775",30,DessousMoyenne,"54,79792",13,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",155,DessousMoyenne,"182,775",Oui,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,35,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",17,DessousMoyenne,"43,28333",64,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,50,DessusMoyenne,"46,775",10,DessousMoyenne,"54,79792",15,DessousMoyenne,"37,91875",22,DessousMoyenne,"43,28333",97,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,12,DessousMoyenne,"46,775",21,DessousMoyenne,"54,79792",16,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",99,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,70,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",25,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",245,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,50,DessusMoyenne,"46,775",88,DessusMoyenne,"54,79792",30,DessousMoyenne,"37,91875",80,DessusMoyenne,"43,28333",248,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Mathematiques,Pere,19,DessousMoyenne,"46,775",6,DessousMoyenne,"54,79792",19,DessousMoyenne,"37,91875",12,DessousMoyenne,"43,28333",56,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,5,DessousMoyenne,"46,775",1,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",11,DessousMoyenne,"43,28333",17,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,20,DessousMoyenne,"46,775",14,DessousMoyenne,"54,79792",12,DessousMoyenne,"37,91875",19,DessousMoyenne,"43,28333",65,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Mere,62,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",44,DessusMoyenne,"37,91875",60,DessusMoyenne,"43,28333",236,DessusMoyenne,"182,775",Non,Non,Plus7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Informatique,Pere,30,DessousMoyenne,"46,775",40,DessousMoyenne,"54,79792",22,DessousMoyenne,"37,91875",66,DessusMoyenne,"43,28333",158,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,36,DessousMoyenne,"46,775",30,DessousMoyenne,"54,79792",20,DessousMoyenne,"37,91875",80,DessusMoyenne,"43,28333",166,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Mathematiques,Pere,55,DessusMoyenne,"46,775",13,DessousMoyenne,"54,79792",35,DessousMoyenne,"37,91875",90,DessusMoyenne,"43,28333",193,DessusMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Mere,69,DessusMoyenne,"46,775",15,DessousMoyenne,"54,79792",36,DessousMoyenne,"37,91875",96,DessusMoyenne,"43,28333",216,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Mere,70,DessusMoyenne,"46,775",50,DessousMoyenne,"54,79792",40,DessusMoyenne,"37,91875",99,DessusMoyenne,"43,28333",259,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Informatique,Pere,60,DessusMoyenne,"46,775",60,DessusMoyenne,"54,79792",33,DessousMoyenne,"37,91875",90,DessusMoyenne,"43,28333",243,DessusMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,10,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",4,DessousMoyenne,"37,91875",80,DessusMoyenne,"43,28333",106,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,15,DessousMoyenne,"46,775",21,DessousMoyenne,"54,79792",2,DessousMoyenne,"37,91875",90,DessusMoyenne,"43,28333",128,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,2,DessousMoyenne,"46,775",0,DessousMoyenne,"54,79792",2,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",54,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,0,DessousMoyenne,"46,775",2,DessousMoyenne,"54,79792",3,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",75,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,8,DessousMoyenne,"46,775",7,DessousMoyenne,"54,79792",30,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",85,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,19,DessousMoyenne,"46,775",19,DessousMoyenne,"54,79792",25,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",103,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Arabe,Pere,25,DessousMoyenne,"46,775",15,DessousMoyenne,"54,79792",12,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",85,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Sciences,Pere,75,DessusMoyenne,"46,775",85,DessusMoyenne,"54,79792",52,DessusMoyenne,"37,91875",43,DessousMoyenne,"43,28333",255,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Arabe,Pere,30,DessousMoyenne,"46,775",90,DessusMoyenne,"54,79792",33,DessousMoyenne,"37,91875",35,DessousMoyenne,"43,28333",188,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Arabe,Pere,35,DessousMoyenne,"46,775",80,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",70,DessusMoyenne,"43,28333",235,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Informatique,Pere,4,DessousMoyenne,"46,775",5,DessousMoyenne,"54,79792",40,DessusMoyenne,"37,91875",16,DessousMoyenne,"43,28333",65,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,2,DessousMoyenne,"46,775",19,DessousMoyenne,"54,79792",10,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",81,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Anglais,Pere,8,DessousMoyenne,"46,775",22,DessousMoyenne,"54,79792",9,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",79,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Sciences,Pere,12,DessousMoyenne,"46,775",11,DessousMoyenne,"54,79792",8,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",71,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Anglais,Pere,10,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",17,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",69,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Sciences,Mere,8,DessousMoyenne,"46,775",6,DessousMoyenne,"54,79792",4,DessousMoyenne,"37,91875",22,DessousMoyenne,"43,28333",40,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,45,DessousMoyenne,"46,775",54,DessousMoyenne,"54,79792",26,DessousMoyenne,"37,91875",90,DessusMoyenne,"43,28333",215,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,0,DessousMoyenne,"46,775",0,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",4,DessousMoyenne,"43,28333",4,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Sciences,Pere,50,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",37,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",247,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,14,DessousMoyenne,"46,775",13,DessousMoyenne,"54,79792",3,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",100,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Informatique,Pere,19,DessousMoyenne,"46,775",20,DessousMoyenne,"54,79792",16,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",105,DessousMoyenne,"182,775",Non,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Pere,10,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",7,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",62,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Pere,30,DessousMoyenne,"46,775",35,DessousMoyenne,"54,79792",28,DessousMoyenne,"37,91875",90,DessusMoyenne,"43,28333",183,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Informatique,Pere,33,DessousMoyenne,"46,775",33,DessousMoyenne,"54,79792",30,DessousMoyenne,"37,91875",90,DessusMoyenne,"43,28333",186,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,20,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",15,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",117,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Anglais,Pere,7,DessousMoyenne,"46,775",10,DessousMoyenne,"54,79792",1,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",48,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Mere,70,DessusMoyenne,"46,775",4,DessousMoyenne,"54,79792",39,DessusMoyenne,"37,91875",90,DessusMoyenne,"43,28333",203,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Anglais,Mere,13,DessousMoyenne,"46,775",80,DessusMoyenne,"54,79792",40,DessusMoyenne,"37,91875",88,DessusMoyenne,"43,28333",221,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Anglais,Pere,29,DessousMoyenne,"46,775",39,DessousMoyenne,"54,79792",50,DessusMoyenne,"37,91875",77,DessusMoyenne,"43,28333",195,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Pere,20,DessousMoyenne,"46,775",14,DessousMoyenne,"54,79792",12,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",116,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Pere,39,DessousMoyenne,"46,775",15,DessousMoyenne,"54,79792",16,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",120,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
